Fecha;PM2.5(µg/m³);SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);Cd(ng/m³)
31.08.2014;7;2;2;10;20;1,23;12;56;0,14;0;0,03
01.09.2014;22;2;4;18;40;1,63;24;46;0,27;0;0,03
02.09.2014;11;2;2;13;24;;15;54;;;
03.09.2014;13;3;1;10;25;2,86;12;58;0,27;0,02;0,04
04.09.2014;16;2;2;15;29;;18;55;;;
05.09.2014;15;2;3;15;29;;19;60;;;
06.09.2014;18;1;1;12;31;6,39;13;54;0,27;0;0,04
07.09.2014;14;2;1;9;26;;10;54;;;
08.09.2014;11;2;4;15;22;3,55;22;43;0,41;0;0,04
09.09.2014;16;3;3;12;25;;16;47;;;
10.09.2014;15;2;5;18;33;;26;44;;;
11.09.2014;;;;;44;2,43;;35;0,81;0,03;0,12
12.09.2014;;;6;22;28;;31;61;;;
13.09.2014;12;2;1;15;24;3,68;16;69;0,27;0;0,05
14.09.2014;13;2;1;14;24;;15;59;;;
15.09.2014;13;3;4;16;26;;22;53;;;
16.09.2014;9;2;1;10;23;4,5;11;64;0,27;0;0,04
17.09.2014;15;2;6;22;41;;30;43;;;
18.09.2014;11;3;5;25;34;1,77;32;37;0,41;0,01;0,04
19.09.2014;11;4;4;24;31;;30;51;;;
20.09.2014;10;4;3;17;29;3,55;20;55;0,27;0;0,05
21.09.2014;11;3;2;11;31;;12;57;;;
22.09.2014;7;4;2;16;19;1,51;19;42;0,41;0;0,07
23.09.2014;10;3;7;29;22;;39;31;;;
24.09.2014;11;3;7;21;23;;32;41;;;
25.09.2014;18;3;4;14;29;0,55;20;52;0,28;0;0,18
26.09.2014;25;3;11;36;36;1,11;52;22;0,42;0;0,21
27.09.2014;15;4;4;16;22;;21;56;;;
28.09.2014;11;3;2;11;15;1,24;12;66;0,28;0;0,08
29.09.2014;9;3;6;24;14;1,1;31;39;0,28;0;0,06
30.09.2014;8;3;8;17;14;;27;44;;;
01.10.2014;8;4;3;16;;;18;44;;;
02.10.2014;9;3;3;21;16;1,52;25;39;0,41;0;0,06
03.10.2014;12;3;7;32;21;;42;36;;;
04.10.2014;15;4;4;22;21;3,31;28;47;0,41;0;0,05
05.10.2014;13;5;2;13;19;;15;58;;;
06.10.2014;19;4;6;33;28;2,74;41;41;0,68;0,01;0,05
07.10.2014;25;3;8;38;33;;49;29;;;
08.10.2014;19;4;11;39;27;;56;26;;;
09.10.2014;16;3;4;27;24;3,56;33;36;0,41;0;0,05
10.10.2014;15;3;11;26;22;;41;26;;;
11.10.2014;6;3;3;15;13;1,93;19;37;0,14;0;0,01
12.10.2014;6;3;2;17;12;;19;44;;;
13.10.2014;11;3;4;25;17;;31;41;;;
14.10.2014;9;3;4;27;12;0,83;31;39;0,28;0,02;0,06
15.10.2014;14;3;5;22;18;;29;37;;;
16.10.2014;14;3;6;25;23;1,1;33;28;0,55;0,01;0,07
17.10.2014;;5;10;33;;;47;26;;;
18.10.2014;21;6;9;36;27;5,52;49;22;0,55;0;0,06
19.10.2014;20;3;5;21;27;;28;30;;;
20.10.2014;30;4;19;52;54;6,35;80;10;0,69;0,01;0,11
21.10.2014;;4;;;73;;;13;;;
22.10.2014;;;;;35;;;38;;;
23.10.2014;;4;;;43;3,72;;18;0,41;0,01;0,32
24.10.2014;;4;22;51;39;3,59;84;17;0,69;0,01;0,18
25.10.2014;20;5;7;38;32;;46;33;;;
26.10.2014;16;4;2;16;29;4,01;17;53;0,41;0,01;0,07
27.10.2014;16;4;5;24;26;2,9;31;44;0,41;0;0,07
28.10.2014;18;4;6;28;29;;35;38;;;
29.10.2014;21;4;7;29;32;3,73;38;33;0,55;0,01;0,1
30.10.2014;27;4;8;36;32;;48;23;;;
31.10.2014;20;4;5;26;26;;33;31;;;
01.11.2014;22;3;3;19;23;3,19;22;36;0,28;0;0,04
02.11.2014;19;3;3;29;23;;32;29;;;
03.11.2014;22;4;10;36;31;1,79;51;23;0,41;0;0,07
04.11.2014;6;4;4;27;13;;33;45;;;
05.11.2014;7;4;4;21;12;;26;40;;;
06.11.2014;9;4;10;25;12;0,83;40;37;0,14;0;0
07.11.2014;14;3;5;24;19;;31;26;;;
08.11.2014;15;3;6;26;21;0,69;36;32;0,14;0;0,01
09.11.2014;4;3;3;18;8;;21;44;;;
10.11.2014;12;4;14;39;17;;60;20;;;
