Fecha;SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);BaP(ng/m³);Cd(ng/m³)
31/03/2015;5;24;48;33;;85;30;;;;
01/04/2015;5;25;37;35;4,72;75;36;0,69;0,01;;0,16
02/04/2015;4;19;34;35;;63;37;;;0,1;
03/04/2015;3;8;21;34;;32;48;;;;
04/04/2015;3;3;12;22;5;15;58;0,28;0;;0,02
05/04/2015;3;5;15;;;22;50;;;;
06/04/2015;3;3;11;;;15;72;;;;
07/04/2015;3;6;18;;;26;71;;;;
08/04/2015;3;7;21;17;;31;77;;;;
09/04/2015;3;5;21;17;;28;74;;;;
10/04/2015;3;6;29;21;;37;59;;;0,04;
11/04/2015;3;6;27;28;2,15;35;50;0,42;0,01;;0,24
12/04/2015;3;3;11;27;;14;74;;;;
13/04/2015;3;5;20;22;;26;67;;;;
14/04/2015;4;20;38;27;4,17;68;42;0,42;0,01;;0,28
15/04/2015;3;20;39;37;;69;37;;;;
16/04/2015;3;12;24;27;3,55;41;45;1,81;0,01;;0,24
17/04/2015;5;8;26;24;;37;51;;;;
18/04/2015;3;6;26;29;;34;54;;;0,04;
19/04/2015;3;3;12;16;2,57;14;71;0,14;0;;0,01
20/04/2015;5;9;27;;;41;53;;;;
21/04/2015;4;11;25;20;;42;53;;;;
22/04/2015;4;12;28;24;;46;50;;;;
23/04/2015;;;;35;12,57;;;0,42;0,01;;0,63
24/04/2015;;;;40;8,11;;;0,42;0,01;;0,14
25/04/2015;3;6;19;33;;27;45;;;;
26/04/2015;3;2;7;18;;9;58;;;0,04;
27/04/2015;4;3;7;11;;12;71;;;0,04;
28/04/2015;3;5;16;20;;24;55;;;;
29/04/2015;3;5;18;27;6,31;25;52;0,28;0;;0,17
30/04/2015;3;7;20;30;7,14;30;52;1,11;0;;0,08
01/05/2015;3;3;14;26;;18;46;;;;
02/05/2015;6;6;17;30;6,86;25;51;0,28;0;;0,13
03/05/2015;3;4;19;36;;24;51;;;;
04/05/2015;4;3;16;;;20;74;;;;
05/05/2015;3;3;12;27;;16;52;;;0,04;
06/05/2015;4;5;25;28;;32;56;;;;
07/05/2015;3;22;46;29;11,46;79;56;1,25;0;;0,1
08/05/2015;4;15;53;36;;75;48;;;;
09/05/2015;4;9;52;34;2,43;66;54;0,42;0;;0,06
10/05/2015;4;8;42;23;;55;55;;;;
11/05/2015;3;12;62;22;;81;48;;;;
12/05/2015;3;18;67;27;13,82;94;52;0,97;0;;0,1
13/05/2015;3;31;91;39;;138;39;;;0,11;
14/05/2015;4;55;67;81;5,35;151;50;2,64;0,01;;0,26
15/05/2015;4;8;28;35;;40;73;;;;
