station_id;date;hour;avg_available;avg_free;med_available;med_free;src_count
1;2012-01-12;1;2;25;2;25;29
1;2012-01-12;2;2;25;2;25;35
1;2012-01-12;3;2;25;2;25;34
1;2012-01-12;4;1;26;1;26;39
1;2012-01-12;5;1;26;1;26;39
1;2012-01-12;6;2;25;1;26;34
1;2012-01-12;7;8;19;8;19;38
1;2012-01-12;8;14;13;14;14;29
1;2012-01-12;9;11;16;11;16;36
1;2012-01-12;10;16;11;16;11;44
1;2012-01-12;11;16;11;17;11;38
1;2012-01-12;12;18;9;17;10;33
1;2012-01-12;13;15;12;15;12;35
1;2012-01-12;14;4;23;4;24;35
1;2012-01-12;15;2;25;2;25;25
1;2012-01-12;16;2;25;0;27;34
1;2012-01-12;17;6;21;6;21;30
1;2012-01-12;18;4;23;3;24;31
1;2012-01-12;19;4;23;4;23;28
1;2012-01-12;20;1;26;0;27;37
1;2012-01-12;21;1;26;1;26;30
1;2012-01-12;22;2;25;2;25;27
1;2012-01-12;23;3;24;3;24;33
1;2012-01-13;0;2;25;2;25;32
1;2012-01-13;1;3;24;3;24;33
1;2012-01-13;2;5;22;5;22;35
1;2012-01-13;3;5;22;5;22;32
1;2012-01-13;4;5;22;5;22;37
1;2012-01-13;5;5;22;5;22;33
1;2012-01-13;6;5;22;5;22;39
1;2012-01-13;7;5;22;5;22;31
1;2012-01-13;8;3;24;3;24;26
1;2012-01-13;9;4;23;3;24;32
1;2012-01-13;10;2;25;2;25;26
1;2012-01-13;11;4;23;4;23;51
1;2012-01-13;12;3;24;3;24;60
1;2012-01-13;13;5;22;5;22;60
1;2012-01-13;14;2;25;1;26;60
1;2012-01-13;15;4;23;4;23;59
1;2012-01-13;16;4;23;4;23;59
1;2012-01-13;17;5;23;4;23;60
1;2012-01-13;18;6;21;6;21;60
1;2012-01-13;19;9;18;9;18;60
1;2012-01-13;20;10;17;10;17;60
1;2012-01-13;21;4;23;3;24;60
1;2012-01-13;22;5;22;5;22;60
1;2012-01-13;23;6;21;6;21;60
1;2012-01-14;0;7;20;7;20;59
1;2012-01-14;1;6;21;6;21;59
1;2012-01-14;2;4;23;4;23;60
1;2012-01-14;3;2;25;1;26;60
1;2012-01-14;4;0;27;0;27;60
1;2012-01-14;5;0;27;0;27;60
1;2012-01-14;6;0;27;0;27;60
1;2012-01-14;7;1;26;1;26;60
1;2012-01-14;8;2;26;1;26;60
1;2012-01-14;9;7;20;7;20;60
1;2012-01-14;10;9;18;9;18;60
1;2012-01-14;11;9;18;9;18;60
1;2012-01-14;12;8;19;8;19;60
1;2012-01-14;13;10;17;11;16;60
1;2012-01-14;14;5;22;5;22;59
1;2012-01-14;15;3;24;2;25;60
1;2012-01-14;16;4;23;4;23;60
1;2012-01-14;17;0;27;0;27;60
1;2012-01-14;18;1;26;1;26;60
1;2012-01-14;19;1;26;1;26;60
1;2012-01-14;20;1;26;0;27;60
1;2012-01-14;21;2;25;2;25;60
1;2012-01-14;22;2;25;2;25;60
1;2012-01-14;23;1;26;1;26;59
1;2012-01-15;0;2;25;2;25;60
1;2012-01-15;1;1;26;2;26;60
1;2012-01-15;2;0;27;0;27;60
1;2012-01-15;3;0;27;0;27;60
1;2012-01-15;4;0;27;0;27;60
1;2012-01-15;5;0;27;0;27;60
1;2012-01-15;6;0;27;0;27;60
1;2012-01-15;7;0;27;0;27;60
1;2012-01-15;8;0;27;0;27;60
1;2012-01-15;9;0;27;0;27;60
1;2012-01-15;10;0;27;0;27;60
1;2012-01-15;11;2;25;1;26;60
1;2012-01-15;12;5;22;6;21;60
1;2012-01-15;13;7;20;7;20;59
1;2012-01-15;14;4;23;5;23;60
1;2012-01-15;15;3;24;3;24;60
1;2012-01-15;16;4;23;4;23;60
1;2012-01-15;17;2;25;1;26;60
1;2012-01-15;18;0;27;0;27;60
1;2012-01-15;19;0;27;0;27;60
1;2012-01-15;20;0;27;0;27;60
1;2012-01-15;21;0;27;0;27;60
1;2012-01-15;22;0;27;0;27;60
1;2012-01-15;23;0;27;0;27;59
1;2012-01-16;0;0;27;0;27;59
1;2012-01-16;1;0;27;0;27;59
1;2012-01-16;2;0;27;0;27;60
1;2012-01-16;3;0;27;0;27;60
1;2012-01-16;4;0;27;0;27;60
1;2012-01-16;5;0;27;0;27;60
1;2012-01-16;6;0;27;0;27;60
1;2012-01-16;7;0;27;0;27;60
1;2012-01-16;8;0;27;0;27;60
1;2012-01-16;9;0;27;0;27;60
1;2012-01-16;10;1;26;2;25;60
1;2012-01-16;11;2;25;2;25;60
1;2012-01-16;12;1;26;1;26;60
1;2012-01-16;13;1;26;1;27;60
1;2012-01-16;14;2;25;1;26;59
1;2012-01-16;15;1;26;1;26;60
1;2012-01-16;16;1;26;1;26;60
1;2012-01-16;17;3;24;3;24;60
1;2012-01-16;18;3;24;3;24;60
1;2012-01-16;19;2;25;2;25;60
1;2012-01-16;20;2;25;2;25;60
1;2012-01-16;21;2;25;2;25;60
1;2012-01-16;22;2;25;2;25;60
1;2012-01-16;23;2;25;2;25;60
1;2012-01-17;0;1;26;1;26;59
1;2012-01-17;1;2;25;2;25;59
1;2012-01-17;2;2;25;2;25;60
1;2012-01-17;3;2;25;2;25;60
1;2012-01-17;4;2;25;2;25;60
1;2012-01-17;5;2;25;2;25;60
1;2012-01-17;6;3;24;2;25;60
1;2012-01-17;7;10;17;10;17;60
1;2012-01-17;8;11;16;11;16;60
1;2012-01-17;9;12;15;11;16;60
1;2012-01-17;10;14;13;14;13;60
1;2012-01-17;11;13;14;13;14;57
1;2012-01-17;12;13;14;13;14;60
1;2012-01-17;13;13;14;13;14;60
1;2012-01-17;14;6;21;8;19;60
1;2012-01-17;15;5;22;5;22;60
1;2012-01-17;16;7;20;8;19;60
1;2012-01-17;17;10;17;9;18;53
1;2012-01-17;18;13;14;11;16;60
1;2012-01-17;19;14;13;11;16;60
1;2012-01-17;20;11;16;11;16;60
1;2012-01-17;21;8;19;11;16;60
1;2012-01-17;22;7;20;11;16;59
1;2012-01-17;23;7;20;11;16;60
1;2012-01-18;0;6;21;1;26;60
1;2012-01-18;1;7;20;11;16;59
1;2012-01-18;2;7;20;11;16;60
1;2012-01-18;3;6;21;11;27;59
1;2012-01-18;4;7;20;11;16;60
1;2012-01-18;5;6;21;11;16;60
1;2012-01-18;6;7;20;11;16;60
1;2012-01-18;7;9;17;11;16;60
1;2012-01-18;8;13;14;11;16;59
1;2012-01-18;9;12;15;11;16;60
1;2012-01-18;10;14;13;11;16;60
1;2012-01-18;11;15;12;11;16;60
1;2012-01-18;12;15;12;11;16;59
1;2012-01-18;13;21;6;22;5;59
1;2012-01-18;14;15;12;16;11;60
1;2012-01-18;15;9;18;9;18;59
1;2012-01-18;16;13;14;14;13;59
1;2012-01-18;17;14;13;14;13;60
1;2012-01-18;18;19;8;21;7;60
1;2012-01-18;19;21;6;21;6;60
1;2012-01-18;20;12;15;13;16;60
1;2012-01-18;21;2;25;0;27;60
1;2012-01-18;22;1;26;1;26;60
1;2012-01-18;23;2;25;2;25;58
1;2012-01-19;0;5;22;6;21;60
1;2012-01-19;1;6;21;6;21;59
1;2012-01-19;2;3;24;4;25;60
1;2012-01-19;3;1;26;1;26;60
1;2012-01-19;4;1;26;1;26;59
1;2012-01-19;5;2;25;2;25;60
1;2012-01-19;6;4;23;2;25;60
1;2012-01-19;7;10;17;9;18;60
1;2012-01-19;8;17;10;17;10;44
1;2012-01-19;10;14;13;14;13;6
1;2012-01-19;11;19;8;21;6;58
1;2012-01-19;12;18;9;17;10;60
1;2012-01-19;13;16;11;17;10;60
1;2012-01-19;14;5;22;5;22;60
1;2012-01-19;15;2;25;2;25;60
1;2012-01-19;16;6;21;7;20;56
1;2012-01-19;17;6;21;7;20;60
1;2012-01-19;18;6;21;7;20;60
1;2012-01-19;19;6;21;6;21;60
1;2012-01-19;20;3;24;3;24;60
1;2012-01-19;21;2;25;2;25;60
1;2012-01-19;22;0;27;0;27;45
1;2012-01-20;0;2;21;3;24;28
1;2012-01-20;1;4;23;4;23;58
1;2012-01-20;2;4;23;4;23;60
1;2012-01-20;3;3;24;3;24;60
1;2012-01-20;4;1;26;1;26;60
1;2012-01-20;5;1;26;1;26;60
1;2012-01-20;6;2;25;1;26;60
1;2012-01-20;7;7;20;7;20;60
1;2012-01-20;8;11;16;12;16;59
1;2012-01-20;9;7;20;6;21;60
1;2012-01-20;10;6;21;6;21;60
1;2012-01-20;11;7;20;6;21;60
1;2012-01-20;12;8;19;9;19;60
1;2012-01-20;13;2;25;2;25;60
1;2012-01-20;14;2;25;3;26;60
1;2012-01-20;15;2;25;1;26;56
1;2012-01-20;16;7;20;7;21;60
1;2012-01-20;17;2;25;2;25;60
1;2012-01-20;18;4;23;4;23;60
1;2012-01-20;19;3;24;2;25;60
1;2012-01-20;20;4;23;4;23;60
1;2012-01-20;21;3;24;3;24;60
1;2012-01-20;22;0;27;0;27;4
1;2012-01-21;1;0;19;0;27;30
1;2012-01-21;2;1;26;1;26;60
1;2012-01-21;3;1;26;1;26;60
1;2012-01-21;4;1;26;1;26;60
1;2012-01-21;5;0;27;0;27;60
1;2012-01-21;6;0;27;0;27;60
1;2012-01-21;7;1;26;1;26;60
1;2012-01-21;8;1;26;1;26;60
1;2012-01-21;9;4;23;4;23;60
1;2012-01-21;10;4;23;4;23;60
1;2012-01-21;11;3;24;3;24;60
1;2012-01-21;12;3;24;2;25;60
1;2012-01-21;13;3;24;3;24;60
1;2012-01-21;14;1;26;0;27;60
1;2012-01-21;15;2;25;2;25;60
1;2012-01-21;16;3;24;3;24;60
1;2012-01-21;17;2;25;2;25;60
1;2012-01-21;18;4;23;3;24;60
1;2012-01-21;19;4;23;4;23;60
1;2012-01-21;20;2;25;2;25;60
1;2012-01-21;21;0;26;0;26;60
1;2012-01-21;22;0;27;0;27;60
1;2012-01-21;23;2;25;3;24;60
1;2012-01-22;0;3;24;3;24;60
1;2012-01-22;1;3;24;3;24;60
1;2012-01-22;2;2;25;3;24;60
1;2012-01-22;3;0;27;0;27;60
1;2012-01-22;4;0;27;0;27;60
1;2012-01-22;5;2;25;2;25;60
1;2012-01-22;6;1;26;1;26;60
1;2012-01-22;7;1;26;1;26;60
1;2012-01-22;8;0;27;0;27;60
1;2012-01-22;9;1;26;1;26;60
1;2012-01-22;10;1;26;1;26;60
1;2012-01-22;11;3;24;3;24;60
1;2012-01-22;12;7;20;7;20;60
1;2012-01-22;13;5;22;5;22;60
1;2012-01-22;14;1;26;1;26;60
1;2012-01-22;15;0;27;0;27;60
1;2012-01-22;16;1;26;2;25;60
1;2012-01-22;17;5;22;5;22;60
1;2012-01-22;18;9;18;10;17;60
1;2012-01-22;19;3;24;2;25;60
1;2012-01-22;20;5;22;5;22;60
1;2012-01-22;21;2;25;2;25;59
1;2012-01-22;22;0;27;0;27;60
1;2012-01-22;23;1;26;1;26;60
1;2012-01-23;0;0;27;0;27;60
1;2012-01-23;1;2;25;2;25;59
1;2012-01-23;2;1;26;1;26;59
1;2012-01-23;3;1;26;1;26;59
1;2012-01-23;4;1;26;1;26;60
1;2012-01-23;5;1;26;1;26;60
1;2012-01-23;6;1;26;1;26;60
1;2012-01-23;7;1;26;1;26;60
1;2012-01-23;8;5;22;5;22;60
1;2012-01-23;9;5;22;5;22;60
1;2012-01-23;10;8;19;9;18;60
1;2012-01-23;11;10;17;10;17;60
1;2012-01-23;12;10;17;10;17;60
1;2012-01-23;13;12;15;13;14;53
1;2012-01-23;14;12;15;12;15;60
1;2012-01-23;15;9;18;8;19;60
1;2012-01-23;16;8;19;8;19;59
1;2012-01-23;17;8;19;8;19;60
1;2012-01-23;18;15;12;16;11;60
1;2012-01-23;19;16;11;16;11;60
1;2012-01-23;20;14;13;14;13;60
1;2012-01-23;21;4;23;4;23;60
1;2012-01-23;22;5;22;5;22;60
1;2012-01-23;23;4;23;5;22;60
